"baumnummer,C,20","hochwert,N,19,11","rechtswert,N,19,11","ga_lang,C,80","GEBIET,C,80","STRASSE,C,100"
" 770",6071739.38053,3526127.58627,"Prunus avium, Vogel-Kirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 790",6071773.88226,3526122.61209,"Prunus serrulata 'Kanzan', Japanische Zierkirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 810",6071779.06811,3526134.67712,"Prunus serrulata 'Kanzan', Japanische Zierkirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 820",6071787.11146,3526113.40457,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 830",6071791.87396,3526124.94043,"Fraxinus excelsior, Gemeine Esche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 850",6071801.29315,3526120.49542,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 870",6071804.46816,3526103.24455,"Fagus sylvatica, Rotbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 890",6071810.07733,3526116.79125,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 910",6071816.9036,3526111.07624,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 920",6071813.09359,3526101.02205,"Fraxinus excelsior, Gemeine Esche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 930",6071825.15861,3526108.1129,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 940",6071822.61861,3526102.29205,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 950",6071820.50194,3526095.94204,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 960",6071817.8561,3526089.27453,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 970",6071815.21026,3526081.01951,"Tilia x vulgaris, Holländische Linde","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 980",6071792.7418,3526104.35581,"Tsuga canadensis, Kanadische Hemlockstanne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1010",6071766.17758,3526142.87922,"Thuja plicata, Riesen-Lebensbaum","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1020",6071759.82757,3526146.58339,"Chamaecyparis lawsoniana 'Glauca', Sorte der Lawsons Scheinzypresse","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1080",6071767.76508,3526106.36664,"Taxus baccata, Gemeine Eibe","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1170",6071794.85795,3526062.48765,"Quercus robur, Stiel-Eiche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1220",6071781.15303,3526052.6032,"Tsuga caroliniana, Carolina-Hemlockstanne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1230",6071770.11936,3526056.40223,"Acer pseudoplatanus, Berg-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1240",6071757.65798,3526062.33989,"""Chamaecyparis lawsoniana ""gelblaubige Sorten"", Lawsons Scheinzypresse ""gelbl","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1330",6071744.90504,3526031.17191,"Laburnum anagyroides, Gemeiner Goldregen","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1340",6071743.00003,3526017.36063,"Acer platanoides, Spitz-Ahorn","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1380",6071739.71919,3526035.29942,"Quercus robur 'Fastigiata', Pyramiden-Eiche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 1390",6071735.06252,3526043.02527,"Sorbus intermedia, Schwedische Mehlbeere","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
